url,label
https://www.google.com,0
https://www.youtube.com,0
https://www.facebook.com,0
https://www.amazon.com,0
https://www.microsoft.com,0
https://www.wikipedia.org,0
https://github.com,0
https://www.linkedin.com,0
https://www.apple.com,0
https://www.instagram.com,0
http://secure-login-account.com,1
http://paypal-verification-login.com,1
http://facebook-security-check.com,1
http://google-account-verify.com,1
http://amazon-login-confirm.com,1
http://bank-account-security-update.com,1
http://free-prize-winner.com,1
http://verify-your-account-now.com,1
http://login-secure-user@evil.com,1
http://192.168.1.25/login,1
